KODE DAN DATA ADMINISTRASI PEMERINTAHAN (PROVINSI, KABUPATEN/KOTA, KECAMATAN, DESA DAN KELURAHAN);;;;;;;;;;
KEPMENDAGRI Nomor 300.2.2 - 2138 TAHUN 2025;;;;;;;;;;
No;Kode Wilayah;Kode_Prov;Kode_Kab;Kode_Kec;Kode_Kel/Desa;Provinsi;Kabupaten/Kota;Kecamatan;Kelurahan/Desa;TIPE
58;11.01.04.2013;11.;11.01.;11.01.04.;11.01.04.2013;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Hulu Pisang;Desa
59;11.01.04.2014;11.;11.01.;11.01.04.;11.01.04.2014;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Tengah Baru;Desa
60;11.01.04.2015;11.;11.01.;11.01.04.;11.01.04.2015;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Lembah Baru;Desa
61;11.01.04.2016;11.;11.01.;11.01.04.;11.01.04.2016;Aceh;Kabupaten Aceh Selatan;Labuhanhaji;Padang Baru;Desa
62;11.01.05.2001;11.;11.01.;11.01.05.;11.01.05.2001;Aceh;Kabupaten Aceh Selatan;Meukek;Kuta Buloh II;Desa
63;11.01.05.2002;11.;11.01.;11.01.05.;11.01.05.2002;Aceh;Kabupaten Aceh Selatan;Meukek;Kuta Buloh I;Desa
64;11.01.05.2003;11.;11.01.;11.01.05.;11.01.05.2003;Aceh;Kabupaten Aceh Selatan;Meukek;Ie Dingen;Desa
65;11.01.05.2004;11.;11.01.;11.01.05.;11.01.05.2004;Aceh;Kabupaten Aceh Selatan;Meukek;Drien Jalo;Desa
66;11.01.05.2005;11.;11.01.;11.01.05.;11.01.05.2005;Aceh;Kabupaten Aceh Selatan;Meukek;Jambo Papeun;Desa
67;11.01.05.2006;11.;11.01.;11.01.05.;11.01.05.2006;Aceh;Kabupaten Aceh Selatan;Meukek;Buket Meuh;Desa
68;11.01.05.2007;11.;11.01.;11.01.05.;11.01.05.2007;Aceh;Kabupaten Aceh Selatan;Meukek;Blang Kuala;Desa
69;11.01.05.2008;11.;11.01.;11.01.05.;11.01.05.2008;Aceh;Kabupaten Aceh Selatan;Meukek;Rot Teungoh;Desa
70;11.01.05.2009;11.;11.01.;11.01.05.;11.01.05.2009;Aceh;Kabupaten Aceh Selatan;Meukek;Alue Baro;Desa
71;11.01.05.2010;11.;11.01.;11.01.05.;11.01.05.2010;Aceh;Kabupaten Aceh Selatan;Meukek;Ladang Tuha;Desa
72;11.01.05.2011;11.;11.01.;11.01.05.;11.01.05.2011;Aceh;Kabupaten Aceh Selatan;Meukek;Lhok Mamplam;Desa
73;11.01.05.2012;11.;11.01.;11.01.05.;11.01.05.2012;Aceh;Kabupaten Aceh Selatan;Meukek;Arun Tunggai;Desa
74;11.01.05.2013;11.;11.01.;11.01.05.;11.01.05.2013;Aceh;Kabupaten Aceh Selatan;Meukek;Blang Teungoh;Desa
75;11.01.05.2014;11.;11.01.;11.01.05.;11.01.05.2014;Aceh;Kabupaten Aceh Selatan;Meukek;Blang Bladeh;Desa
76;11.01.05.2015;11.;11.01.;11.01.05.;11.01.05.2015;Aceh;Kabupaten Aceh Selatan;Meukek;Ie Buboh;Desa
77;11.01.05.2016;11.;11.01.;11.01.05.;11.01.05.2016;Aceh;Kabupaten Aceh Selatan;Meukek;Keude Meukek;Desa
78;11.01.05.2017;11.;11.01.;11.01.05.;11.01.05.2017;Aceh;Kabupaten Aceh Selatan;Meukek;Kuta Baro;Desa
79;11.01.05.2018;11.;11.01.;11.01.05.;11.01.05.2018;Aceh;Kabupaten Aceh Selatan;Meukek;Tanjung Harapan;Desa
80;11.01.05.2019;11.;11.01.;11.01.05.;11.01.05.2019;Aceh;Kabupaten Aceh Selatan;Meukek;Labuhan Tarok;Desa
81;11.01.05.2020;11.;11.01.;11.01.05.;11.01.05.2020;Aceh;Kabupaten Aceh Selatan;Meukek;Lhok Aman;Desa
82;11.01.05.2021;11.;11.01.;11.01.05.;11.01.05.2021;Aceh;Kabupaten Aceh Selatan;Meukek;Alue Meutuah;Desa
83;11.01.05.2022;11.;11.01.;11.01.05.;11.01.05.2022;Aceh;Kabupaten Aceh Selatan;Meukek;Ladang Baro;Desa
84;11.01.05.2023;11.;11.01.;11.01.05.;11.01.05.2023;Aceh;Kabupaten Aceh Selatan;Meukek;Labuhan Tarok II;Desa
85;11.01.06.2001;11.;11.01.;11.01.06.;11.01.06.2001;Aceh;Kabupaten Aceh Selatan;Samadua;Dalam;Desa
86;11.01.06.2002;11.;11.01.;11.01.06.;11.01.06.2002;Aceh;Kabupaten Aceh Selatan;Samadua;Subarang;Desa
87;11.01.06.2003;11.;11.01.;11.01.06.;11.01.06.2003;Aceh;Kabupaten Aceh Selatan;Samadua;Kuta Baru;Desa
88;11.01.06.2004;11.;11.01.;11.01.06.;11.01.06.2004;Aceh;Kabupaten Aceh Selatan;Samadua;Gunung Ketek;Desa
89;11.01.06.2005;11.;11.01.;11.01.06.;11.01.06.2005;Aceh;Kabupaten Aceh Selatan;Samadua;Ladang Panton Luas;Desa
90;11.01.06.2006;11.;11.01.;11.01.06.;11.01.06.2006;Aceh;Kabupaten Aceh Selatan;Samadua;Madat;Desa
91;11.01.06.2007;11.;11.01.;11.01.06.;11.01.06.2007;Aceh;Kabupaten Aceh Selatan;Samadua;Alur Seumerah;Desa
92;11.01.06.2008;11.;11.01.;11.01.06.;11.01.06.2008;Aceh;Kabupaten Aceh Selatan;Samadua;Tengah;Desa
93;11.01.06.2009;11.;11.01.;11.01.06.;11.01.06.2009;Aceh;Kabupaten Aceh Selatan;Samadua;Gunung Cut;Desa
94;11.01.06.2010;11.;11.01.;11.01.06.;11.01.06.2010;Aceh;Kabupaten Aceh Selatan;Samadua;Alur Pinang;Desa
95;11.01.06.2011;11.;11.01.;11.01.06.;11.01.06.2011;Aceh;Kabupaten Aceh Selatan;Samadua;Kuta Blang;Desa
96;11.01.06.2012;11.;11.01.;11.01.06.;11.01.06.2012;Aceh;Kabupaten Aceh Selatan;Samadua;Batee Tunggai;Desa
97;11.01.06.2013;11.;11.01.;11.01.06.;11.01.06.2013;Aceh;Kabupaten Aceh Selatan;Samadua;Ujung Tanah;Desa
98;11.01.06.2014;11.;11.01.;11.01.06.;11.01.06.2014;Aceh;Kabupaten Aceh Selatan;Samadua;Ujung Kampung;Desa
99;11.01.06.2015;11.;11.01.;11.01.06.;11.01.06.2015;Aceh;Kabupaten Aceh Selatan;Samadua;Jilatang;Desa
